Date_Param,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,Gorontalo,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-03-04,29100.0,19250.0,18250.0000000158,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76430.97916520889,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-05,29100.0,19250.0,18250.000000018117,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76610.51271409368,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-06,29100.0,19250.0,18250.00000001697,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76767.65265047361,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-07,29100.0,19250.0,18250.000000013828,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76967.30261749687,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-08,29100.0,19250.0,18250.000000012176,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,77130.90220199504,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-09,29100.0,19250.0,18250.000000015225,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,77322.8156017344,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-10,29100.0,19250.0,18250.00000002253,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,77500.00058644179,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-11,29100.0,19250.0,18250.00000002807,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,77677.185804445,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-12,29100.0,19250.0,18250.00000002153,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,77869.09634044181,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-13,29100.0,19250.0,18249.999999992422,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,78032.69815335442,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
