Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-03-30,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-03-31,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-01,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-02,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-03,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-04,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-05,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-06,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-07,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-08,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-09,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-04-10,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
